,Biaryl,mole of Biaryl/mmol,Olefin,mole of Olefin/mmol,Product,Catalyst,Catalyst Concentration/%,TDG,TDG Concentration/%,Additive,Additive/eq,Solvent,Solvent Ratio,Volume of Solvent/ml,Reaction Time/h,Anode,Cathode,Current(mA),Temperature,Yield,ee,ddG(kcal/mol)
0,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.57,0.99,3.507522458
1,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,0,60,0.2,0.99,3.507522458
2,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],5,CC(C)(C)[C@H](N)C(=O)O,10,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.38,0.99,3.507522458
3,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],5,CC(C)(C)[C@H](N)C(=O)O,10,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,4,60,0.33,0.99,3.507522458
4,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,2,60,0.41,0.99,3.507522458
5,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,80,0.46,0.97,2.93931419
6,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,N[C@@H](C(=O)O)c1ccccc1,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.1,0.4,0.561448164
7,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,Pt,Pt,1.5,60,0.35,0.99,3.507522458
8,O=Cc1ccccc1-c1cccc2ccccc12,0.3,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.47,0.99,3.507522458
9,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,3,14,grahite felt,Pt,1.5,60,0.53,0.99,3.507522458
10,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=Cc1ccc(Br)cc1,0.6,O=Cc1ccccc1-c1c(/C=C/c2ccc(Br)cc2)ccc2ccccc12,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,2,CC(=O)O,,4.5,18,grahite felt,Pt,1.5,60,0.36,0.99,3.507522458
11,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=Cc1ccc(Br)cc1,0.6,O=Cc1ccccc1-c1c(/C=C/c2ccc(Br)cc2)ccc2ccccc12,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,O=C1C=CC(=O)C=C1,0.1,CC(=O)O.OC(C(F)(F)F)C(F)(F)F,1/4,4.5,24,grahite felt,Pt,1.5,60,0.64,0.99,3.507522458
12,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CCCCCOC(C)=O,0.6,CC(=O)OCC/C=C/Cc1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.3,0.84,1.618381589
13,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CCCCCOC(C)=O,0.6,CC(=O)OCC/C=C/Cc1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,30,[Li]OC(C)=O,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.32,0.84,1.618381589
14,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CCc1ccc(OC)c(OC)c1,0.6,COc1ccc(/C=C/Cc2ccc3ccccc3c2-c2ccccc2C=O)cc1OC,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.35,0.9,1.95108466
15,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CCc1ccc(OC)cc1,0.6,COc1ccc(/C=C/Cc2ccc3ccccc3c2-c2ccccc2C=O)cc1,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.37,0.95,2.427599614
16,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,24,grahite felt,Pt,1.5,60,0.68,0.97,2.772851543
17,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O.Cc1ccccc1,1/1,4.5,14,grahite felt,Pt,1.5,60,0.51,0.97,2.772851543
18,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O.ClCCCl,1/1,4.5,14,grahite felt,Pt,1.5,60,0.57,0.94,2.303380331
19,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC#N.CC(=O)O,1/1,4.5,14,grahite felt,Pt,1.5,60,0.5,0.97,2.772851543
20,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,24,grahite felt,Pt,2,60,0.64,0.96,2.578851502
21,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)N[C@H](C(=O)O)C(C)(C)C,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.14,0.89,1.884432161
22,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(C)=O,0.6,CC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,CC(C)(C)[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,24,grahite felt,Pt,1.5,60,0.64,0.97,2.772851543
23,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,N[C@@H](Cc1cnc[nH]1)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.6,0.24,0.324391179
24,O=Cc1ccccc1-c1cccc2ccccc12,0.2,C=CC(=O)OCCCC,0.6,CCCCOC(=O)/C=C/c1ccc2ccccc2c1-c1ccccc1C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],10,N=C(N)NCCC[C@H](N)C(=O)O,20,[Li]OC(C)=O,2,CC(=O)O,,4.5,14,grahite felt,Pt,1.5,60,0.18,0.55,0.819520665
