,Biaryl_q(N)_C,Biaryl_q(N+1)_C,Biaryl_xTB Chrg_C,Biaryl_q(N)_H,Biaryl_q(N+1)_H,Biaryl_xTB Chrg_H,Biaryl_Bond Order_C-H,Biaryl_HBDE_C-H
O=Cc1ccccc1-c1cccc2ccccc12,0.42519685039370086,0.8673913043478262,0.4058199949443645,0.5624999999999996,0.8653061224489796,0.14232186601452565,0.5,0.6792374446085683
O=Cc1ccc2ccccc2c1-c1cccc2ccccc12,0.6141732283464567,0.3804347826086957,0.48603827059678145,1.0,0.4734693877551021,0.08487193290188347,1.0,0.587426144756278
COc1cc(C=O)c(-c2cccc3ccccc23)cc1OC,0.3149606299212595,0.34782608695652173,0.11692237720115135,0.37500000000000017,0.363265306122449,0.0479844765266124,0.5,0.6888386262924672
O=Cc1ccc2ccc3ccccc3c2c1-c1cccc2ccccc12,1.0,0.47391304347826085,0.47090237455117184,0.9583333333333321,0.42448979591836744,0.09629651163092509,0.0,0.3989106351550975
Cc1ccccc1-c1c(C=O)ccc2ccc3ccccc3c12,0.9763779527559053,0.0,0.5428155003152727,0.7916666666666667,0.0,0.055676133334509915,0.5,0.7020864106351572
Cc1ccccc1-c1ccccc1C=O,0.4488188976377949,0.3282608695652174,0.48405454448066493,0.27083333333333354,0.5918367346938777,0.09203305901816528,0.5,0.9552252584933518
O=Cc1ccccc1-c1ccc(C(F)(F)F)c2ccccc12,0.3228346456692912,1.0,1.0,0.7500000000000003,1.0,1.0,0.0,0.6035819793205354
CCc1ccccc1-c1cc(F)ccc1C=O,0.47244094488188954,0.1760869565217391,0.5432891137508588,0.5000000000000008,0.44897959183673464,0.22096032284505648,0.5,0.8437038404726737
O=Cc1cc2c(cc1-c1cccc3ccccc13)OCO2,0.4173228346456691,0.49782608695652175,0.45484744291031737,0.4166666666666665,0.4571428571428573,0.2612557381151001,0.5,0.590380354505173
O=Cc1cc(C(F)(F)F)ccc1-c1cccc2ccccc12,0.5511811023622045,0.9130434782608696,0.54066262654359,0.8124999999999992,0.942857142857143,0.3323073984114188,0.5,0.22622784342688518
O=Cc1ccc2ccccc2c1-c1ccccc1,0.8031496062992125,0.06739130434782613,0.8207119424822796,0.9374999999999998,0.1714285714285713,0.1742949055037628,0.5,0.7804652880354515
Cc1ccccc1-c1cc(F)ccc1C=O,0.5196850393700787,0.2847826086956522,0.5491651153633995,0.43750000000000044,0.5428571428571429,0.24544000564791973,0.5,0.7644479320531774
