,Olefin_q(N+1)_C1,Olefin_Nucleophilicity_C1,Olefin_s-_C1,Olefin_xTB Chrg_C1,Olefin_q(N)_C2,Olefin_q(N+1)_C2,Olefin_f-_C2,Olefin_Bond Length C=C,Olefin_MO_Contrib_1,Olefin_E_HOMO
C=CC(=O)OCCCC,0.5371650821089023,0.4485361158950461,0.1128378378378378,0.7750942335860558,0.5932203389830508,0.3562326869806094,0.2962085308056872,0.758625124924172,0.7383983405030115,0.8070355397333011
C=Cc1ccc(Br)cc1,0.4745030250648229,0.2650693951980549,0.38445945945945953,0.29707605895483824,0.8267419962335216,0.40997229916897504,0.736176935229068,0.9763304937315936,0.12191983875355437,0.0
C=CCCCCOC(C)=O,0.5531547104580813,0.6380305946712592,0.9057432432432433,0.0,1.0,0.7767313019390581,0.6406003159557663,0.41146069555332726,1.0,1.0
C=CCc1ccc(OC)c(OC)c1,0.0,0.23054908317293082,0.7277027027027027,0.026006897007277832,0.9962335216572503,0.12022160664819943,0.7764612954186414,0.3939552421199572,0.9066220901229592,0.9609605985639295
C=CCc1ccc(OC)cc1,0.12057044079515991,0.5301134636814913,1.0,0.034746111914375696,0.9529190207156308,0.21994459833795013,0.9897314375987362,0.38655568943362134,0.8881406356210202,0.9615639896216739
C=CC(C)=O,0.5522904062229905,0.11062708945395604,0.04121621621621618,0.8375667760947085,0.5141242937853107,0.2753462603878116,0.43522906793048977,0.8980231294179212,0.746365658458933,0.8184999698304471
C=Cc1ccc(OC)cc1,0.41702679343128785,0.0,0.3141891891891893,0.15423230689061163,0.7777777777777778,0.3490304709141274,0.6406003159557663,1.0,0.13953581812603177,0.8591081880166537
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.65514261019879,1.0,0.5996621621621622,0.7237181348932159,0.3785310734463276,0.5534626038781163,0.4897314375987362,0.386441362943036,0.8561855781279237,0.6749532371930249
C=CC(=O)Oc1cccc(OC)c1,0.273552290406223,0.07395400668625267,0.1287162162162163,0.78564231394699,0.5781544256120527,0.013296398891966757,0.6263823064770931,0.7818053785944921,0.7329558903028796,0.7723405539129911
C=CC(=O)Oc1ccc([N+](=O)[O-])cc1,0.4451166810717373,0.8490274541586466,0.7875000000000001,0.8784449125396986,0.6045197740112994,0.17119113573407202,1.0,0.8586043384252727,0.6835203502671322,0.6777288360586495
C=CS(=O)(=O)c1ccccc1,0.43777009507346587,0.7935366224293385,0.708445945945946,0.5889771606096794,0.4764595103578154,0.2116343490304709,0.8222748815165877,0.0,0.3779037892497269,0.07168285766004949
C=CC(=O)Oc1ccc(C(C)=O)cc1,0.3327571305099395,0.6273173943876,0.6310810810810812,0.8274315934938721,0.6045197740112994,0.08088642659279778,0.909952606635071,0.7991725164481955,0.714293958893845,0.7243106257165268
C=CC(=O)Oc1ccc(Br)cc1,0.32108902333621436,0.27882180123594363,0.22668918918918918,0.8347196898129168,0.5875706214689265,0.048199445983379496,0.6864139020537126,0.8198821918039968,0.7007595823566777,0.7392747239485913
C=CC(=O)Oc1ccc(F)cc1,0.36603284356093346,0.23685543511295715,0.17432432432432426,0.8173777741895911,0.5819209039548022,0.08476454293628807,0.6074249605055292,0.8099962755566223,0.7160651929342663,0.7486272853436313
C=CP(=O)(OCC)OCC,0.5929127052722558,0.5000253267146186,0.0,0.5864205077447163,0.0,0.2648199445983379,0.0,0.3644799273038159,0.02299782996348038,0.8121643637241297
C=CC(=O)NC(C)C,0.38764044943820225,0.03811670550096244,0.01824324324324311,0.7152420925046161,0.4689265536723163,0.008864265927977824,0.2322274881516588,0.6983559431695096,0.8030772912879188,0.8708139745368975
C=CC(=O)OC,0.6923076923076924,0.4415965960895552,0.13006756756756752,0.7876143253923734,0.6045197740112994,0.5883656509695291,0.26224328593996843,0.7708322472800158,0.762098910250657,0.8040185844445784
C=CC(=O)OCc1ccccc1,0.29775280898876405,0.43653125316583924,0.38783783783783793,0.7845351020763367,0.6195856873822975,0.09473684210526315,0.6224328593996841,0.7615791874637498,0.7319116428477506,0.8017860375309238
C=Cc1ccccc1,0.5648228176318064,0.19861209603890181,0.38175675675675674,0.22719756916666595,0.8248587570621468,0.5080332409972299,0.6706161137440758,0.9619815399827534,0.0,0.7056055029264466
C=CC(=O)Oc1ccccc1-c1ccccc1,0.22212618841832327,0.38223077702360453,0.4631756756756757,0.792578115579918,0.6177024482109228,0.0,0.7954186413902053,0.7576113723176637,0.6848281120960581,0.7825982018946479
C=CC(=O)OCC,0.6179775280898876,0.44215378381116394,0.13851351351351365,0.7780673490978215,0.5969868173258003,0.4698060941828255,0.2906793048973145,0.7646379259313937,0.7337139768023859,0.8089663911180834
