,TDG_q(N)_Pd,TDG_q(N+1)_Pd,TDG_q(N-1)_Pd,TDG_f-_Pd,TDG_s-_Pd,TDG_s+_Pd,TDG_xTB Chrg_Pd,TDG_q(N+1)_O1,TDG_f-_O1,TDG_q(N+1)_O2,TDG_f+_O2,TDG_f0_O2,TDG_Nucleophilicity_O2,TDG_s-_O2,TDG_xTB Chrg_O2,TDG_Bond Length_Pd-O1,TDG Bond Order_Pd-O2,TDG_BV,TDG_B5,TDG_L,TDG_Pd-O,TDG_O-Pd-N
CC(C)(C)[C@H](N)C(=O)O,0.24575807334428054,0.5326278659611996,0.2673093777388256,0.4750889679715303,0.7873443983402487,0.6192704970949,0.6212946328704472,0.25855513307984757,0.5337837837837839,0.20430107526881708,0.39349112426035504,0.6221498371335505,0.1987991321459206,1.0,0.4966795035927847,0.48597055455621335,0.16666666666666702,0.9193252429208891,0.9627698722859387,0.35383336622257044,0.4727327554893908,0.12033180126423898
N[C@@H](C(=O)O)c1ccccc1,0.0,0.11228689006466794,0.0,0.1886120996441281,0.4999999999999997,0.7653324725629439,1.0,0.2408111533586814,0.6013513513513515,0.1860215053763439,0.36390532544378695,0.5928338762214985,0.21007618951511178,0.972972972972973,1.0,0.25004796902971776,0.6851851851851866,0.7290754410108844,0.0,0.9968804088126113,0.32798068348838944,0.4131224588133001
CC(C)(C)[C@H](N)C(=O)N[C@H](C(=O)O)C(C)(C)C,0.2758620689655173,0.23280423280423274,0.29447852760736193,0.48932384341637003,0.3708506224066391,0.8897675919948355,0.6705834168050412,0.24714828897338356,0.5202702702702704,0.027956989247311735,0.8136094674556213,0.8566775244299674,0.14458348049851152,0.7592137592137591,0.10104440401590306,0.5588823615521071,0.0,1.0,0.9595103100967867,0.3604017715201613,0.46296089324166845,0.095114568131258
N[C@@H](Cc1cnc[nH]1)C(=O)O,0.1565407772304328,1.0,0.161262050832603,0.33629893238434166,0.3983402489626556,0.0,0.4983945476817154,0.2712294043092519,0.5810810810810811,0.27956989247311825,0.1715976331360947,0.4625407166123779,0.0763156566930723,0.7936117936117936,0.8350384157540025,1.0,0.38888888888888967,0.6074898869844447,0.980493787714288,0.44158383122069694,1.0,0.100919553446088
N=C(N)NCCC[C@H](N)C(=O)O,0.15544608648056915,0.0,0.12489044697633643,0.19039145907473287,0.0,1.0,0.827387970771603,0.032953105196451095,0.1824324324324321,0.0,0.9319526627218936,0.8403908794788273,0.0,0.5872235872235871,0.8600149620161749,0.3173085650174182,0.6296296296296309,0.7244880937486968,0.930872782737742,0.8231524939556712,0.5445200689990515,0.15831043147903695
O=C(O)[C@@H]1CCCN1,1.0,0.9594356261022933,1.0,1.0,1.0,0.9493221433182699,0.6024075289814388,1.0,0.05405405405405375,1.0,0.0,0.0,1.0,0.0,0.8191392866953825,0.0,1.0,0.5569665123649862,1.0,0.24765082569219124,0.0,0.44298054966228667
N[C@@H](CO)C(=O)O,0.14066776135741685,0.21634332745443835,0.11524978089395264,0.20106761565836256,0.4999999999999997,0.8084247901872177,0.7903072570970308,0.24714828897338356,0.17567567567567563,0.19032258064516122,0.42011834319526625,0.5700325732899022,0.15921590393057167,0.877149877149877,0.9715075527082815,0.35559374407867367,0.6851851851851866,0.5667667542432961,0.8924745213106982,0.2542040773007184,0.5602136699386061,0.15852122067820376
CC(C)[C@H](N)C(=O)O,0.2101806239737274,0.29747207524985303,0.12182296231375984,0.0,0.33143153526970937,0.8061652679147837,0.7235342806077678,0.31305449936628643,0.0,0.1860215053763439,0.4053254437869822,0.5472312703583062,0.15934204551188252,0.864045864045864,0.6337319172977165,0.4532526229487526,0.31481481481481544,0.7956128278910712,0.8458020585001562,0.3356114795816247,0.720366405190563,0.015538122972758877
N[C@@H](Cc1ccccc1)C(=O)O,0.2588943623426383,0.7001763668430337,0.32515337423312884,0.6690391459074733,0.7188796680497923,0.40510006455777925,0.38901583159939856,0.26489226869454974,0.695945945945946,0.22795698924731178,0.5414201183431954,0.7426710097719871,0.17715323679297645,0.9172809172809173,0.4375764298141507,0.5553985305879224,0.24074074074074123,0.6081988406522374,0.9914495849881111,0.43473707904647885,0.7088077808969884,0.044894699388128144
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.24356869184455388,0.23162845385067612,0.3089395267309379,0.6530249110320282,0.3386929460580909,0.8295674628792771,0.4598558502019215,0.0,0.6621621621621622,0.050537634408601956,1.0,1.0,0.06741006105252534,0.7215397215397215,0.40742537564854164,0.6871427516466254,0.07407407407407422,0.6211059677217567,0.9741691749502482,0.5356015203416036,0.5841524040476285,0.004369704891180914
